state_code,period_start,period_end,period_type,operator_raw,operator_reported,operator_standard,parent_company,channel,sport_category,handle,gross_revenue,standard_ggr,promo_credits,net_revenue,payouts,tax_paid,federal_excise_tax,hold_pct,days_in_period,is_partial_period,data_is_revised,source_file,source_sheet,source_row,source_column,source_page,source_table_index,source_url,source_report_url,source_screenshot,source_raw_line,source_context,scrape_timestamp
MS,2021-03-01,2021-03-31,monthly,Central,Central Region,Central Region,MS Gaming Commission,retail,football,9093597,958700,958700,,958700,,,,0.1054258287452149,31,False,False,0321sports_wagering.xls,Sheet1,5.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Sports - Football | 90935.97 | 9587 | 0.10542582874521492,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Football"", """", ""90935.97"", """", ""9587"", """", ""0.10542582874521492"", """", ""-103.77978032510093""], [""Sports - Basketball"", """", ""4281355.02"", """", ""442442.12"", """", ""0.10334160982519969"", """", ""-0.06008266455923451""], [""Sports - Baseball"", """", ""12273.18"", """", ""16153.56"", """", ""1.3161674480452499"", """", ""0.9369049885482588""]], ""highlight"": 0}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Central,Central Region,Central Region,MS Gaming Commission,retail,basketball,428135502,44244212,44244212,,44244212,,,,0.10334160982519969,31,False,False,0321sports_wagering.xls,Sheet1,6.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Sports - Basketball | 4281355.02 | 442442.12 | 0.10334160982519969,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Football"", """", ""90935.97"", """", ""9587"", """", ""0.10542582874521492"", """", ""-103.77978032510093""], [""Sports - Basketball"", """", ""4281355.02"", """", ""442442.12"", """", ""0.10334160982519969"", """", ""-0.06008266455923451""], [""Sports - Baseball"", """", ""12273.18"", """", ""16153.56"", """", ""1.3161674480452499"", """", ""0.9369049885482588""], [""Sports Parlay Cards"", """", ""4549186.74"", """", ""1011868.78"", """", ""0.22242849938492523"", """", ""0.005219347153340197""]], ""highlight"": 1}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Central,Central Region,Central Region,MS Gaming Commission,retail,baseball,1227318,1615356,1615356,,1615356,,,,1.3161674480452499,31,False,False,0321sports_wagering.xls,Sheet1,7.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Sports - Baseball | 12273.18 | 16153.56 | 1.3161674480452499,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Football"", """", ""90935.97"", """", ""9587"", """", ""0.10542582874521492"", """", ""-103.77978032510093""], [""Sports - Basketball"", """", ""4281355.02"", """", ""442442.12"", """", ""0.10334160982519969"", """", ""-0.06008266455923451""], [""Sports - Baseball"", """", ""12273.18"", """", ""16153.56"", """", ""1.3161674480452499"", """", ""0.9369049885482588""], [""Sports Parlay Cards"", """", ""4549186.74"", """", ""1011868.78"", """", ""0.22242849938492523"", """", ""0.005219347153340197""], [""Other"", """", ""1148447.55"", """", ""-53841.7"", """", ""-0.0468821584407577"", """", ""-1.032263041452366""]], ""highlight"": 2}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Central,Central Region,Central Region,MS Gaming Commission,retail,parlay,454918674,101186878,101186878,,101186878,,,,0.22242849938492523,31,False,False,0321sports_wagering.xls,Sheet1,8.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Sports Parlay Cards | 4549186.74 | 1011868.78 | 0.22242849938492523,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Basketball"", """", ""4281355.02"", """", ""442442.12"", """", ""0.10334160982519969"", """", ""-0.06008266455923451""], [""Sports - Baseball"", """", ""12273.18"", """", ""16153.56"", """", ""1.3161674480452499"", """", ""0.9369049885482588""], [""Sports Parlay Cards"", """", ""4549186.74"", """", ""1011868.78"", """", ""0.22242849938492523"", """", ""0.005219347153340197""], [""Other"", """", ""1148447.55"", """", ""-53841.7"", """", ""-0.0468821584407577"", """", ""-1.032263041452366""], [""Overall for Region"", """", ""10082198.46"", """", ""1426209.76"", """", ""0.141458211287779"", """", ""-0.11374884195759065""]], ""highlight"": 2}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Central,Central Region,Central Region,MS Gaming Commission,retail,other,114844755,-5384170,-5384170,,-5384170,,,,-0.0468821584407577,31,False,False,0321sports_wagering.xls,Sheet1,9.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Other | 1148447.55 | -53841.7 | -0.0468821584407577,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Baseball"", """", ""12273.18"", """", ""16153.56"", """", ""1.3161674480452499"", """", ""0.9369049885482588""], [""Sports Parlay Cards"", """", ""4549186.74"", """", ""1011868.78"", """", ""0.22242849938492523"", """", ""0.005219347153340197""], [""Other"", """", ""1148447.55"", """", ""-53841.7"", """", ""-0.0468821584407577"", """", ""-1.032263041452366""], [""Overall for Region"", """", ""10082198.46"", """", ""1426209.76"", """", ""0.141458211287779"", """", ""-0.11374884195759065""]], ""highlight"": 2}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Coastal,Coastal Region,Coastal Region,MS Gaming Commission,retail,football,24421976,-25960332,-25960332,,-25960332,,,,-1.0629906441640922,31,False,False,0321sports_wagering.xls,Sheet2,5.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Sports - Football | 244219.76 | -259603.32 | -1.0629906441640924,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Football"", """", ""244219.76"", """", ""-259603.32"", """", ""-1.0629906441640924"", """", ""11.8539169799079""], [""Sports - Basketball"", """", ""23654842.66"", """", ""1897434.78"", """", ""0.08021337564035187"", """", ""0.03405409158327065""], [""Sports - Baseball"", """", ""597518.93"", """", ""43711.48"", """", ""0.07315497100652528"", """", ""0.276887359132356""]], ""highlight"": 0}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Coastal,Coastal Region,Coastal Region,MS Gaming Commission,retail,basketball,2365484266,189743478,189743478,,189743478,,,,0.08021337564035186,31,False,False,0321sports_wagering.xls,Sheet2,6.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Sports - Basketball | 23654842.66 | 1897434.78 | 0.08021337564035187,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Football"", """", ""244219.76"", """", ""-259603.32"", """", ""-1.0629906441640924"", """", ""11.8539169799079""], [""Sports - Basketball"", """", ""23654842.66"", """", ""1897434.78"", """", ""0.08021337564035187"", """", ""0.03405409158327065""], [""Sports - Baseball"", """", ""597518.93"", """", ""43711.48"", """", ""0.07315497100652528"", """", ""0.276887359132356""], [""Sports Parlay Cards"", """", ""2356473.15"", """", ""466507.79"", """", ""0.19796864224826835"", """", ""-0.07768719052000166""]], ""highlight"": 1}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Coastal,Coastal Region,Coastal Region,MS Gaming Commission,retail,baseball,59751893,4371148,4371148,,4371148,,,,0.07315497100652527,31,False,False,0321sports_wagering.xls,Sheet2,7.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Sports - Baseball | 597518.93 | 43711.48 | 0.07315497100652528,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Football"", """", ""244219.76"", """", ""-259603.32"", """", ""-1.0629906441640924"", """", ""11.8539169799079""], [""Sports - Basketball"", """", ""23654842.66"", """", ""1897434.78"", """", ""0.08021337564035187"", """", ""0.03405409158327065""], [""Sports - Baseball"", """", ""597518.93"", """", ""43711.48"", """", ""0.07315497100652528"", """", ""0.276887359132356""], [""Sports Parlay Cards"", """", ""2356473.15"", """", ""466507.79"", """", ""0.19796864224826835"", """", ""-0.07768719052000166""], [""Other"", """", ""6488808.36"", """", ""933028.87"", """", ""0.143790480198432"", """", ""-0.8066023891751314""]], ""highlight"": 2}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Coastal,Coastal Region,Coastal Region,MS Gaming Commission,retail,parlay,235647315,46650779,46650779,,46650779,,,,0.19796864224826835,31,False,False,0321sports_wagering.xls,Sheet2,8.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Sports Parlay Cards | 2356473.15 | 466507.79 | 0.19796864224826835,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Basketball"", """", ""23654842.66"", """", ""1897434.78"", """", ""0.08021337564035187"", """", ""0.03405409158327065""], [""Sports - Baseball"", """", ""597518.93"", """", ""43711.48"", """", ""0.07315497100652528"", """", ""0.276887359132356""], [""Sports Parlay Cards"", """", ""2356473.15"", """", ""466507.79"", """", ""0.19796864224826835"", """", ""-0.07768719052000166""], [""Other"", """", ""6488808.36"", """", ""933028.87"", """", ""0.143790480198432"", """", ""-0.8066023891751314""], [""Overall for Region"", """", ""33341862.86"", """", ""3081079.6"", """", ""0.09240874191514804"", """", ""-0.06878695076668352""]], ""highlight"": 2}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Coastal,Coastal Region,Coastal Region,MS Gaming Commission,retail,other,648880836,93302887,93302887,,93302887,,,,0.143790480198432,31,False,False,0321sports_wagering.xls,Sheet2,9.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Other | 6488808.36 | 933028.87 | 0.143790480198432,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Baseball"", """", ""597518.93"", """", ""43711.48"", """", ""0.07315497100652528"", """", ""0.276887359132356""], [""Sports Parlay Cards"", """", ""2356473.15"", """", ""466507.79"", """", ""0.19796864224826835"", """", ""-0.07768719052000166""], [""Other"", """", ""6488808.36"", """", ""933028.87"", """", ""0.143790480198432"", """", ""-0.8066023891751314""], [""Overall for Region"", """", ""33341862.86"", """", ""3081079.6"", """", ""0.09240874191514804"", """", ""-0.06878695076668352""]], ""highlight"": 2}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Northern,Northern Region,Northern Region,MS Gaming Commission,retail,football,5129126,-6909223,-6909223,,-6909223,,,,-1.3470565940474069,31,False,False,0321sports_wagering.xls,Sheet3,5.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Sports - Football | 51291.26 | -69092.23 | -1.3470565940474069,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Football"", """", ""51291.26"", """", ""-69092.23"", """", ""-1.3470565940474069"", """", ""0.22718900730231592""], [""Sports - Basketball"", """", ""5483505"", """", ""623962.37"", """", ""0.11378896709312748"", """", ""0.1082369822202148""], [""Sports - Baseball"", """", ""41480.3"", """", ""5986.45"", """", ""0.14432031590899777"", """", ""0.5472748276564537""]], ""highlight"": 0}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Northern,Northern Region,Northern Region,MS Gaming Commission,retail,basketball,548350500,62396237,62396237,,62396237,,,,0.11378896709312748,31,False,False,0321sports_wagering.xls,Sheet3,6.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Sports - Basketball | 5483505 | 623962.37 | 0.11378896709312748,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Football"", """", ""51291.26"", """", ""-69092.23"", """", ""-1.3470565940474069"", """", ""0.22718900730231592""], [""Sports - Basketball"", """", ""5483505"", """", ""623962.37"", """", ""0.11378896709312748"", """", ""0.1082369822202148""], [""Sports - Baseball"", """", ""41480.3"", """", ""5986.45"", """", ""0.14432031590899777"", """", ""0.5472748276564537""], [""Sports Parlay Cards"", """", ""936247.44"", """", ""78886.06"", """", ""0.08425770435217425"", """", ""-0.10414870245671304""]], ""highlight"": 1}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Northern,Northern Region,Northern Region,MS Gaming Commission,retail,baseball,4148030,598645,598645,,598645,,,,0.14432031590899777,31,False,False,0321sports_wagering.xls,Sheet3,7.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Sports - Baseball | 41480.3 | 5986.45 | 0.14432031590899777,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Football"", """", ""51291.26"", """", ""-69092.23"", """", ""-1.3470565940474069"", """", ""0.22718900730231592""], [""Sports - Basketball"", """", ""5483505"", """", ""623962.37"", """", ""0.11378896709312748"", """", ""0.1082369822202148""], [""Sports - Baseball"", """", ""41480.3"", """", ""5986.45"", """", ""0.14432031590899777"", """", ""0.5472748276564537""], [""Sports Parlay Cards"", """", ""936247.44"", """", ""78886.06"", """", ""0.08425770435217425"", """", ""-0.10414870245671304""], [""Other"", """", ""610300.54"", """", ""89998.5"", """", ""0.14746586984832097"", """", ""-0.792117708267178""]], ""highlight"": 2}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Northern,Northern Region,Northern Region,MS Gaming Commission,retail,parlay,93624744,7888606,7888606,,7888606,,,,0.08425770435217425,31,False,False,0321sports_wagering.xls,Sheet3,8.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Sports Parlay Cards | 936247.44 | 78886.06 | 0.08425770435217425,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Basketball"", """", ""5483505"", """", ""623962.37"", """", ""0.11378896709312748"", """", ""0.1082369822202148""], [""Sports - Baseball"", """", ""41480.3"", """", ""5986.45"", """", ""0.14432031590899777"", """", ""0.5472748276564537""], [""Sports Parlay Cards"", """", ""936247.44"", """", ""78886.06"", """", ""0.08425770435217425"", """", ""-0.10414870245671304""], [""Other"", """", ""610300.54"", """", ""89998.5"", """", ""0.14746586984832097"", """", ""-0.792117708267178""], [""Overall for Region"", """", ""7122824.54"", """", ""729741.15"", """", ""0.10245109168447944"", """", ""0.029951859387764724""]], ""highlight"": 2}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Northern,Northern Region,Northern Region,MS Gaming Commission,retail,other,61030054,8999850,8999850,,8999850,,,,0.14746586984832097,31,False,False,0321sports_wagering.xls,Sheet3,9.0,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,Other | 610300.54 | 89998.5 | 0.14746586984832097,"{""headers"": [""Sports Type"", """", ""Write*"", """", ""Taxable Revenue*"", """", ""Win %"", """", ""% Change**""], ""rows"": [[""Sports - Baseball"", """", ""41480.3"", """", ""5986.45"", """", ""0.14432031590899777"", """", ""0.5472748276564537""], [""Sports Parlay Cards"", """", ""936247.44"", """", ""78886.06"", """", ""0.08425770435217425"", """", ""-0.10414870245671304""], [""Other"", """", ""610300.54"", """", ""89998.5"", """", ""0.14746586984832097"", """", ""-0.792117708267178""], [""Overall for Region"", """", ""7122824.54"", """", ""729741.15"", """", ""0.10245109168447944"", """", ""0.029951859387764724""], [""Overall for State"", """", ""50546885.86"", """", ""5237030.51"", """", ""0.10360738195632929"", """", ""-0.05095559848478665""]], ""highlight"": 2}",2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Central,Central Region,Central Region,MS Gaming Commission,retail,,1008219846,142620976,142620976,,142620976,,,,0.141458211287779,31,False,False,0321sports_wagering.xls,,,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,,,2026-03-30T10:00:58.312728
MS,2021-03-01,2021-03-31,monthly,Coastal,Coastal Region,Coastal Region,MS Gaming Commission,retail,,3334186286,308107960,308107960,,308107960,,,,0.09240874191514804,31,False,False,0321sports_wagering.xls,,,,,,,https://www.msgamingcommission.com/reports/monthly_reports,,,,2026-03-30T10:00:58.312728
